,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YIR037W,10.89814231,11.00171564,11.33728967,11.16724195,10.97326326,10.0232618,10.77382284,10.62485694,11.38701191,10.47034183,10.22787475,11.04534021,11.48882246,10.94559203,10.54574147,11.06394478,10.99282873,10.78896298,11.28873492,10.63767735,11.05881309,10.78426045
YIR038C,8.724431487,11.01951079,9.85552517,9.991362654,10.16881702,10.82137787,8.741445674,10.44461472,12.03117575,9.875560546,10.15338,8.88559494,10.6085894,9.775289908,9.516026831,9.139483822999999,8.941609029,9.123081447,10.08288728,9.476783959,8.256971643,9.776514131
YJL001W,12.2164689,11.26981436,11.75676029,11.45560931,11.37072856,11.26675448,10.80439505,11.7058513,11.29512542,11.8529035,11.81164612,12.1385361,11.91433943,11.73192662,11.55655955,11.69664896,12.74991519,11.84041031,11.95961579,11.92255209,11.40395777,11.42618354
YJL002C,11.82083552,11.52420076,11.47720418,11.40786584,11.6592773,11.74911593,11.52813058,11.772694099999999,11.33543415,11.78456226,11.7094544,11.84163542,11.96579836,11.91218782,11.69383747,11.73436727,11.50792836,11.48001817,11.71448634,11.77890038,11.691887,11.73009216
YJL005W,11.94879994,9.924015441,10.93139421,10.93256004,11.23396331,11.74889498,11.36757892,9.167217928,12.34492442,11.51955539,10.71497612,11.79550017,11.57448472,10.64611288,11.35023445,10.90805598,11.14423078,11.605973800000001,10.74791481,10.77636089,11.09560925,12.88945585
YJL008C,11.39485516,11.487623300000001,11.34535837,11.5689559,11.75120376,11.68624269,11.66791526,11.78471405,11.60430802,11.46653967,11.54112519,11.60765286,11.72542832,11.71465382,11.56516545,11.62702479,11.71360361,11.99015874,11.47781247,11.76154997,11.68597332,11.67287706
YJL010C,10.50826109,9.97704694,9.932870123999999,10.1623252,10.66359795,10.64006958,10.48064172,10.70353982,9.955185411,10.39637352,10.12576346,10.20567786,10.43499433,11.17299673,10.59088794,10.66014625,10.53761518,11.19331953,10.04366969,10.16306774,10.52970171,10.41233365
YJL011C,9.852578637,9.39510349,8.796705259,8.664757263,9.866032809,10.04750602,8.794506018,9.96701894,8.746441606,9.773071023,9.944890882000001,9.243316933,9.451952573,10.52670808,9.153016506,10.55582112,10.19040926,10.65295247,9.437830985,8.789071064,10.38023117,10.14758964
YJL012C,12.69820181,12.36310164,12.56889808,12.70052548,13.00796389,12.75421379,12.98152074,12.92974614,11.98308524,12.82166774,12.52506442,12.53431555,13.06678981,12.65276408,12.80319697,12.91663571,12.43569383,12.78824726,12.84798701,12.82682897,12.83942858,12.73554903
YJL014W,11.69659473,12.06603147,11.55659334,11.96605107,12.01942063,11.87714462,11.8166934,12.17665669,11.64989282,11.58041783,11.86859683,11.97369683,11.85550311,11.95920899,11.82739155,12.11714549,12.06747764,12.27216674,11.97837395,12.17745326,12.00354925,11.64036618
YJL020C,11.12775805,11.3768935,10.74211334,10.9538657,11.00410608,10.3499897,10.42028617,10.6144284,10.379395,10.47544307,10.5373608,11.22195262,11.26514066,10.56270131,11.01924065,10.95700241,9.618336396,9.242315107000001,11.09382343,10.90000359,10.73005128,10.62023168
YJL026W,11.43070033,12.13499391,12.09579812,11.52357237,12.07529454,12.37413484,12.23026042,12.30329204,12.00360185,11.78127819,12.09145359,11.31546953,12.25053789,13.17026422,11.758697900000001,12.33556208,12.22824224,11.30945582,12.35336994,11.95928679,12.0972798,11.95199091
YJL034W,11.60302366,11.9633599,11.6115859,11.57768303,11.74278191,11.95708348,11.60601114,11.92841718,11.88768613,11.76759022,11.408373300000001,11.50828872,12.1279661,11.38105685,11.63460643,11.68793531,11.89842552,11.83014866,11.41366873,11.64303518,11.73167394,11.66856937
YJL039C,11.04137355,11.26902577,10.77346278,11.322821000000001,11.08448199,11.51248676,10.97944876,11.30612175,11.22475234,10.92217219,11.06671529,11.57238717,10.95380544,9.953100701,10.70328217,11.05129439,11.09070608,11.76095305,11.05941613,11.19286751,11.14941051,10.99100032
YJL041W,10.11645634,9.502960926,10.00450104,10.74379243,10.27609508,10.66447017,10.93306651,9.858331685,9.217373426,9.930346488,9.894239458,10.90724997,10.5444166,10.83869859,11.04044201,10.94465633,11.24494106,10.28538241,9.810291242,9.965583952000001,10.34150311,10.55703028
YJL042W,11.17460672,12.45796549,12.59721203,11.30507888,11.50075656,10.55472579,11.31860544,12.63467181,12.69624267,10.23690043,11.47529284,11.08126529,12.12382824,10.61409345,11.36366081,11.61946909,10.45666549,11.27893002,10.45608688,9.838893381,11.42048657,12.55804109
YJL052W,11.79099301,12.78361898,11.41012764,11.49571026,12.98767726,12.3928251,11.37097792,12.22752657,11.78324429,10.37483312,10.23318616,11.07463991,12.42291295,12.31318931,12.22867276,12.56881818,13.20026822,12.41871476,11.24859235,11.24901747,12.36198472,12.39266802
YJL055W,11.06149806,11.632634199999998,11.23283025,11.29814716,11.56963749,10.90947071,11.57550639,11.78290365,11.37190639,11.14524095,11.5553534,11.5592871,11.22007243,11.34873563,11.03437347,11.545088900000001,11.3671906,10.88448662,11.94402274,11.27295185,11.36820426,11.34984722
YJL060W,10.05516266,10.44926028,10.67778182,10.70470407,10.76739361,10.70330795,10.65047729,10.98144634,10.99262645,10.1767304,10.62640069,9.807876496,9.981842747,11.19191324,10.38652489,10.79004368,10.97834074,10.47642016,10.4190663,10.59636325,10.88224104,10.36026464
YJL063C,10.5823765,9.889769253999999,11.16034404,10.93668254,9.899748727999999,10.49290008,10.82803114,10.38300854,10.87466923,9.427536207000001,11.05579986,10.60373543,10.77713918,10.4422084,10.93643355,10.96722994,11.40408065,11.14462939,10.42835291,10.7323329,11.16230545,9.622761994
YJL066C,12.15549712,11.60672901,12.03142794,12.1425216,11.80094317,11.69065373,11.97003278,11.95259951,11.44087795,11.75451294,11.72483658,11.80566002,12.39622342,11.55382326,11.7645061,12.06539958,11.9364155,11.95338432,11.90401626,11.74256546,12.065464,11.55007029
YJL080C,12.240296699999998,11.62502521,12.10006369,11.92657826,12.14583357,12.18278559,12.04077009,11.94346137,11.92291581,11.88551555,11.86465767,12.10194079,12.28576025,12.02315342,12.46909753,11.99044628,11.94168171,12.19089215,12.11499931,12.07392927,12.11111303,12.11621515
