,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YGL026C,-72111.4432647856,-72111.4432647856,-72111.4432647856,-72111.4432647856,-72111.4432647856,-72111.4432647856,-72111.4432647856,-72111.4432647856,-71188.48594771243,-72174.68538324421,-72174.68538324421,-72706.9946969697,-71323.48594771243,-72505.87009405388,-72111.4432647856,-72111.4432647856,-72111.4432647856,-72111.4432647856,-71828.9432647856,-71828.9432647856,-72111.4432647856,-71730.4432647856
YGL027C,-73351.29477124182,-73803.29477124182,-73351.29477124182,-73351.29477124182,-73351.29477124182,-73351.29477124182,-73351.29477124182,-73351.29477124182,-73606.37157287158,-73467.50588235294,-73467.50588235294,-72941.50588235294,-73732.50588235294,-72993.58333333333,-73351.29477124182,-73351.29477124182,-73351.29477124182,-73351.29477124182,-72915.50588235294,-72915.50588235294,-73351.29477124182,-73266.56951871657
YGL030W,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666,-8340.691666666666
YGL037C,-18182.391774891774,-18111.519047619047,-18182.391774891774,-18182.391774891774,-18182.391774891774,-18182.391774891774,-18165.891774891774,-18182.391774891774,-17369.77619047619,-18275.391774891774,-18275.391774891774,-17975.519047619047,-17568.77619047619,-18275.391774891774,-18182.391774891774,-18182.391774891774,-18182.391774891774,-18182.391774891774,-18762.95844155844,-18762.95844155844,-18182.391774891774,-18545.0664160401
YGL040C,-33453.64938940003,-33453.64938940003,-33453.64938940003,-32641.380481837,-33453.64938940003,-33453.64938940003,-33453.64938940003,-33453.64938940003,-33376.367494824015,-33362.367494824015,-33362.367494824015,-33468.37079152732,-32925.37615283267,-34188.636402387034,-33453.64938940003,-33453.64938940003,-34188.636402387034,-33453.64938940003,-33764.30082815734,-33764.30082815734,-33453.64938940003,-33417.64938940003
YGL043W,-24611.716666666667,-23529.376769626768,-23529.376769626768,-23529.376769626768,-23529.376769626768,-23529.376769626768,-24492.716666666667,-23529.376769626768,-24878.716666666667,-24842.35068389058,-24842.35068389058,-24224.166666666668,-24769.716666666667,-23983.166666666668,-23529.376769626768,-23529.376769626768,-23529.376769626768,-23529.376769626768,-24446.88333333333,-24446.88333333333,-23529.376769626768,-24224.166666666668
YGL048C,-35594.0,-35594.0,-35594.0,-35594.0,-35594.0,-35594.0,-35594.0,-35594.0,-35594.0,-36511.61416361416,-36511.61416361416,-36060.833333333336,-35533.833333333336,-35956.72727272727,-35798.0,-35594.0,-35594.0,-35594.0,-35650.65,-35650.65,-35594.0,-34872.833333333336
YGL049C,-69857.2046388779,-70159.41836436809,-70200.04693579665,-71083.28947368421,-70159.41836436809,-69920.78551617963,-70200.04693579665,-70159.41836436809,-70112.35169770142,-69332.05453712953,-69930.52667337962,-71266.52667337962,-69499.129176838,-69521.56371901343,-69509.47331932305,-70159.41836436809,-70159.41836436809,-70200.04693579665,-71266.52667337962,-71266.52667337962,-70159.41836436809,-70895.52667337962
YGL054C,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10099.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4,-10188.4
YGL055W,-47618.777260179435,-46854.19755737632,-46796.19755737632,-46796.19755737632,-47086.19755737632,-46968.19755737632,-47227.19755737632,-47086.19755737632,-46980.673183199775,-47743.777260179435,-47743.777260179435,-48032.777260179435,-48033.777260179435,-48070.777260179435,-47618.777260179435,-47086.19755737632,-47086.19755737632,-46968.19755737632,-47853.777260179435,-47853.777260179435,-47086.19755737632,-47164.45369485586
